Strike,BidVolP,AskVolP,BidVolC,AskVolC
2.25,,,0.41802176769929794,0.5033754771486041
2.2,0.5451757394985908,0.7744687707705578,2.882518894299123,3.002752578166132
2.25,,1.6778881183527152,3.092093375822331,4.214131444313919
2.1,,,0.3764906294001581,0.42522294035457003
2.15,,,0.3898043130199004,0.39556467321334765
2.1,0.34500675300849715,0.6169751180691496,1.715298579946896,1.8894340204421063
2.15,,0.6754997655668082,2.2009812046054282,2.4319184561166054
2.05,,,0.35817930437435075,0.3700262901735184
2.05,0.44854785851366524,0.49203972391620815,1.2607252099067,1.297369040506216
2.0,,,0.3406606342946757,0.3599641413998
2.0,0.40497952384491437,0.4463111686765508,0.7465532073444648,0.7865679545517957
1.95,0.41249201253225926,0.42119914548327453,0.31476339597343794,0.32349542078752674
1.95,0.40117055327878004,0.41510429999246334,0.3034064176708633,0.317383361394031
1.85,1.394810229173943,1.5053081571899702,,0.37513837733766037
1.9,0.8659456328147017,0.8976589154163265,0.27549415092573115,0.3155021902281916
1.85,0.37079909891827534,0.38910391050558374,,
1.9,0.37792108841796335,0.39736157461890426,,
1.8,2.056577391066475,2.062273241359203,,
1.8,0.37639153410909987,0.4061182736562255,,
2.4,,,0.5130900399203507,0.5538911721757251
2.45,,,0.5228158001002509,0.6029060998034089
2.5,,,0.5652467117216108,0.6504310537678248
2.55,,,0.6475724285644725,0.6965781387091758
2.6,,,0.6466878409596187,0.7189075405511419
2.4,,1.2761836272920064,4.647164774622084,5.315680998922283
2.45,,2.100769272317566,5.531371155539224,6.4310918582204355
2.5,,2.119559060872404,5.659225929963336,6.915648229846053
2.55,,2.209102637404255,6.200040936722871,7.465554832142289
2.6,,2.2963502526443347,6.735678555872166,8.01798758597023
2.3,,,0.4508273649948879,0.4845691087102355
2.35,,,0.4866650567504428,0.5171278891493652
2.3,,1.7949078558970264,3.6025446322155914,4.776149544896598
2.35,,1.902210107564841,4.260867384602933,5.330599609145513
2.2,,,0.40910066615895463,0.41393173809596573
