Strike,BidVolP,AskVolP,BidVolC,AskVolC
2.25,,,0.41802176769929794,0.5033754771486041
2.2,0.620577706684543,0.7744687707705578,2.915399723989765,3.002752578166132
2.25,,1.6778881183527152,3.3257175334679254,4.214131444313919
2.1,,,0.3782568516804991,0.42522294035457003
2.15,,,0.3898043130199004,0.39556467321334765
2.1,0.48593272521045094,0.6169751180691496,1.7937601897914641,1.8894340204421063
2.15,0.5117176936620422,0.6754997655668082,2.3330637353729147,2.4319184561166054
2.05,,,0.35817930437435075,0.3700262901735184
2.05,0.44854785851366524,0.49203972391620815,1.2607252099067,1.297369040506216
2.0,,,0.34895213826310795,0.3599641413998
2.0,0.41129485556635437,0.4463111686765508,0.7526460656988307,0.7865679545517957
1.95,0.42294040707157843,0.425552200044309,0.3252414271257206,0.3278601980709598
1.95,0.40117055327878004,0.41510429999246334,0.3034064176708633,0.317383361394031
1.85,1.4078383536986954,1.5053081571899702,,0.37513837733766037
1.9,0.8668526096323175,0.8976589154163265,0.27668056320872453,0.3155021902281916
1.85,0.37079909891827534,0.38910391050558374,,
1.9,0.39329309971336146,0.39736157461890426,,
1.8,2.056577391066475,2.074611264299182,,
1.8,0.3793152628657151,0.4061182736562255,,
2.4,,,0.5130900399203507,0.5538911721757251
2.45,,,0.5592467934093572,0.6029060998034089
2.5,,,0.604041309103765,0.6504310537678248
2.55,,,0.6475724285644725,0.6965781387091758
2.6,,,0.6899251057411242,0.7189075405511419
2.4,,1.2761836272920064,4.647164774622084,5.315680998922283
2.45,,2.104810309585273,5.531371155539224,6.43465127570851
2.5,,2.119559060872404,5.659225929963336,6.915648229846053
2.55,,2.209102637404255,6.200040936722871,7.465554832142289
2.6,,2.2963502526443347,6.735678555872166,8.01798758597023
2.3,,,0.4508273649948879,0.4845691087102355
2.35,,,0.4866650567504428,0.5171278891493652
2.3,,1.7949078558970264,3.6656448678841675,4.776149544896598
2.35,0.7528000337332403,1.902210107564841,4.5532906249644975,5.330599609145513
2.2,,,0.40910066615895463,0.41393173809596573
